keyword,bidding 1st ,bidding 2st ,bidding 3st ,bidding 4st ,bidding 5st ,bidding 6st ,bidding 7st ,bidding 8st ,bidding 9st ,bidding 10st 
아크릴받침대,770,610,540,470,440,410,390,380,360,340
CNC커팅,700,570,480,380,330,280,230,190,170,160
복합선반,640,480,450,390,270,210,180,170,140,120
아크릴거치대,1990,1700,1520,1400,1320,1240,1170,1090,1030,950
선반학원,70,70,70,70,70,70,70,70,70,70
수원오토캐드학원,6920,6400,5940,5420,5020,4850,4410,3950,3630,3180
합판CNC,560,400,340,250,220,180,160,150,140,130
인써트,590,500,460,440,410,360,310,280,250,220
컴퓨터응용가공산업기사실기,520,380,310,280,260,230,180,130,90,80
TINYROBO,70,70,70,70,70,70,70,70,70,70
대형CNC조각기,70,70,70,70,70,70,70,70,70,70
CNC라우터중고,70,70,70,70,70,70,70,70,70,70
5축조각기,170,100,70,70,70,70,70,70,70,70
인천CNC,540,320,200,70,70,70,70,70,70,70
LM절단기,70,70,70,70,70,70,70,70,70,70
CNC목공기계,320,260,200,120,90,70,70,70,70,70
알루미늄조각기,1020,310,200,130,90,80,70,70,70,70
CNC조각기중고,200,70,70,70,70,70,70,70,70,70
레이저CNC,630,450,350,220,170,130,80,70,70,70
CNCROUTER,550,410,340,100,70,70,70,70,70,70
