relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
전자제품케이스,< 10,10,0.1,0.0,1.0,0.0,13,중간
3D프린터제작업체,30,40,1.3,0.0,4.32,0.0,15,높음
3디프린터,100,530,2.3,22.5,2.37,4.52,15,높음
CAD대행,< 10,< 10,0.2,0.0,3.41,0.0,13,중간
스텐파이프제조,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
신주부속,180,240,5.1,2.5,3.07,1.06,14,높음
PVC규격,160,130,0.9,0.3,0.6,0.2,9,중간
3D프린팅건축,110,40,1.0,0.7,1.0,1.31,3,높음
3DMODELING,140,40,0.6,0.0,0.43,0.0,15,높음
도색,1890,4080,2.1,4.0,0.12,0.11,15,중간
ZRAPID,< 10,< 10,0.0,0.0,0.0,0.0,1,중간
광경화3D프린터,10,< 10,0.7,0.3,4.17,11.12,3,높음
3D프린팅금형,10,< 10,0.0,0.0,0.0,0.0,3,높음
3D프린터주문제작,60,100,2.3,10.0,3.75,10.21,13,중간
3D조각,10,30,0.2,1.7,1.41,5.56,15,중간
3D프린터레진,240,190,1.5,0.7,0.7,0.36,14,높음
아트토이제작,30,70,1.8,4.0,5.73,5.89,14,높음
3D목업제작,< 10,< 10,0.5,0.0,5.19,0.0,15,높음
콘벤딩,10,< 10,0.5,1.0,4.17,20.0,2,중간
서울벤딩,< 10,10,0.5,1.0,6.25,5.27,2,중간
목업집,10,10,0.7,0.0,3.91,0.0,12,중간
3D제작,110,100,3.3,6.8,3.09,7.26,15,높음
케이스목업,10,< 10,0.3,0.0,3.34,0.0,3,높음
제작의뢰,60,60,0.0,0.8,0.0,1.34,15,높음
